esma_code,canonical_field,record_group,current_delivery_status,proposed_xml_level,proposed_cardinality,xml_path_known,xml_path,xsd_required,blocks_preview_xml,blocks_production_xml,gap_class,recommended_action,owner,risk_level,notes
RREC1,Unique Identifier,RREC,optional,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules)
RREC2,Underlying Exposure Identifier,RREC,optional,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules)
RREC3,Original Collateral Identifier,RREC,optional,collateral,one_per_collateral,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollIdr/OrgnlIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREC4,New Collateral Identifier,RREC,optional,collateral,one_per_collateral,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollIdr/NewIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREC5,Collateral Type,RREC,optional,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules)
RREC6,geographic_region_collateral,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) GeogrgphclRgnColltrl/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'GeogrgphclRgnColltrl/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: GeogrgphclRgnColltrl/Cd; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC7,occupancy,RREC,optional,collateral,one_per_collateral,false,(leaf-only) Occupancy/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'Occupancy/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,"leaf token hint: Occupancy/Cd; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC8,lien,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) Lien/Nb,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'Lien/Nb' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: Lien/Nb; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC9,property_type,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) PrprtyTp/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'PrprtyTp/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: PrprtyTp/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREC10,energy_performance_certificate_value,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) EnrgyPrfrmncCrtfctVal/Val,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'EnrgyPrfrmncCrtfctVal/Val' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: EnrgyPrfrmncCrtfctVal/Val; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC11,energy_performance_certificate_provider_name,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) EnrgyPrfrmncCrtfctPrvdrNm/Nm,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'EnrgyPrfrmncCrtfctPrvdrNm/Nm' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: EnrgyPrfrmncCrtfctPrvdrNm/Nm; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC12,current_loan_to_value,RREC,optional,collateral,one_per_collateral,false,(leaf-only) LnToVal/Rate (current valuation),true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'LnToVal/Rate (current valuation)' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,"leaf token hint: LnToVal/Rate (current valuation); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC13,Current Valuation Amount,RREC,optional,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,"workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC14,current_valuation_method,RREC,optional,collateral,one_per_collateral,false,(leaf-only) CrntVlwtnMthd/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'CrntVlwtnMthd/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: CrntVlwtnMthd/Cd; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREC15,current_valuation_date,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) CrntVlwtnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'CrntVlwtnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: CrntVlwtnDt/Dt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC16,original_loan_to_value,RREC,optional,collateral,one_per_collateral,false,(leaf-only) LnToVal/Rate (at origination),true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'LnToVal/Rate (at origination)' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,"leaf token hint: LnToVal/Rate (at origination); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC17,original_valuation_amount,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) OrgnlVlwtnAmt/Val/Amt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'OrgnlVlwtnAmt/Val/Amt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: OrgnlVlwtnAmt/Val/Amt; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREC18,original_valuation_method,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) OrgnlVlwtnMthd/Val,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'OrgnlVlwtnMthd/Val' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: OrgnlVlwtnMthd/Val; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREC19,original_valuation_date,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) OrgnlVlwtnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'OrgnlVlwtnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: OrgnlVlwtnDt/Dt; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREC20,date_of_sale,RREC,mandatory,collateral,one_per_collateral,false,(leaf-only) DtOfSale/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'DtOfSale/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: DtOfSale/Dt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREC21,sale_price,RREC,mandatory,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,high,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREC22,Collateral Currency,RREC,optional,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREC23,guarantor_type,RREC,mandatory,collateral,one_per_collateral,false,,true,false,true,missing_collateral_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,high,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL1,unique_identifier,RREL,mandatory,report_header,one_per_report,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/ScrtstnIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL2,original_underlying_exposure_identifier,RREL,mandatory,exposure_identification,one_per_loan,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrId/OrgnlUndrlygXpsrIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL3,New Underlying Exposure Identifier,RREL,optional,exposure_identification,one_per_loan,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrId/NewUndrlygXpsrIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL4,Original Obligor Identifier,RREL,optional,exposure_identification,one_per_loan,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrId/OrgnlOblgrIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL5,New Obligor Identifier,RREL,optional,exposure_identification,one_per_loan,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrId/NewOblgrIdr,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL6,data_cut_off_date,RREL,mandatory,report_header,one_per_report,true,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/CutOffDt,true,false,true,data_dependency,confirm value provenance; XSD path already resolved,data_pipeline,low,
RREL7,Pool Addition Date,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL8,Date Of Repurchase,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL9,redemption_date,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) RdmptnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'RdmptnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: RdmptnDt/Dt; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL10,resident,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL11,geographic_region_obligor,RREL,optional,exposure,one_per_loan,false,(leaf-only) GeogrgphclRgnOblgr/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'GeogrgphclRgnOblgr/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: GeogrgphclRgnOblgr/Cd; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL12,geographic_region_classification,RREL,optional,exposure,one_per_loan,false,(leaf-only) GeogrgphclRgnOblgrYr/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'GeogrgphclRgnOblgrYr/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: GeogrgphclRgnOblgrYr/Cd; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL13,employment_status,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL14,credit_impaired_obligor,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL15,Customer Type,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
