esma_code,canonical_field,current_mapping_status,proposed_mapping_status,xml_path,xsd_validated,workbook_evidenced,sample_evidenced,manual_review_required,blocks_production_xml_before_review,blocks_production_xml_after_review,promotion_recommendation,risk_level,notes
RREC1,unique_identifier,unresolved,conflict,,False,False,False,True,True,True,DO NOT PROMOTE: collision / multi-code-cell pollution (e.g. RREC mapped outside Coll). Resolve manually; XSD wins.,high,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Multi-code-cell pollution / collision — collateral must stay nested under Coll.
RREC2,underlying_exposure_identifier,unresolved,conflict,,False,False,False,True,True,True,DO NOT PROMOTE: collision / multi-code-cell pollution (e.g. RREC mapped outside Coll). Resolve manually; XSD wins.,high,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Multi-code-cell pollution / collision — collateral must stay nested under Coll.
RREC3,original_collateral_identifier,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollIdr/OrgnlIdr,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC4,new_collateral_identifier,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollIdr/NewIdr,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC5,collateral_type,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/CmonData/CollTp,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC6,geographic_region_collateral,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/CmonData/TrtrlUnitClssfctn,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC7,occupancy,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/OccpncyTp,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC8,lien,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/CmonData/LienVal,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC9,property_type,confirmed,confirmed_by_xsd_sample,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/PrprtyTp,True,False,True,False,False,False,PROMOTE path: production-eligible XML path (XSD+sample). Production XML still requires DATA readiness (separate axis).,low,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields.
RREC10,energy_performance_certificate_value,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/NrgyPrfrmncCertVal,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC11,energy_performance_certificate_provider_name,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Dtls/NrgyPrfrmncCertPrvdrNm,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC12,current_loan_to_value,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/LnToVal,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC13,current_valuation_amount,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/ValtnAmt,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
RREC14,current_valuation_method,inferred_high_confidence,workbook_xsd_validated,Document/ScrtstnNonAsstBckdComrclPprUndrlygXpsrRpt/NewCrrctn/ScrtstnRpt/UndrlygXpsrRcrd/UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/Coll/CollCmonData/Valtn/CurInf/ValtnMtd,True,True,False,False,True,False,"ACCEPT for builder behind a structure gate: ESMA workbook path, XSD-validated. NOT production-eligible until formally accepted by the path-map review policy.",medium,PATH axis only. Production XML also requires DATA readiness (data_readiness=pending_delivery_certification); production_ready=False for all fields. Workbook path re-validated against XSD; awaiting formal acceptance.
