esma_code,canonical_field,current_blocker_type,issue_group,affected_rows,preview_required,production_required,recommended_preview_treatment,recommended_production_treatment,owner,risk_level,reason
RREL1,unique_identifier,client_onboarding_dependency,client_onboarding,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,client_onboarding,high,Securitisation identifier (ScrtstnIdr) + report anchor; no ND allowed. Must NOT be guessed. Preview only: a clearly-labelled non-production placeholder; production requires the formal client identifier policy.
RREL2,original_underlying_exposure_identifier,client_onboarding_dependency,client_onboarding,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,client_onboarding,high,Original underlying-exposure identifier; no ND allowed. Same placeholder rule as RREL1 — non-reportable preview placeholder only.
RREC1,unique_identifier,operator_or_config_dependency,operator_review,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,operator,high,Collateral record unique identifier (no ND); structurally needed to anchor a collateral record. Preview placeholder only; operator confirms the real id.
RREC13,current_valuation_amount,operator_or_config_dependency,operator_review,1526,no,yes,preview_exclusion,must_resolve,operator,medium,Current valuation amount; source ambiguous. Do not fabricate a valuation. Omit from preview (optional/ND-eligible); operator confirms source for production.
RREC17,original_valuation_amount,operator_or_config_dependency,operator_review,1526,no,yes,preview_exclusion,must_resolve,operator,high,Original valuation amount; source ambiguous and NOT ND5-eligible. Never fabricate. Omit from preview; operator confirms source for production.
RREC9,property_type,operator_or_config_dependency,operator_review,1526,no,yes,preview_exclusion,must_resolve,operator,medium,"Property type; source ambiguity. ND5-eligible but not policy-selected, so do not ND it. Omit from preview; operator confirms for production."
RREL43,current_interest_rate,operator_or_config_dependency,operator_review,1526,no,yes,preview_exclusion,must_resolve,operator,medium,Current interest rate; source ambiguity. Omit from preview; operator confirms the rate source for production.
RREL69,account_status,operator_or_config_dependency,operator_review,1526,yes,yes,must_resolve,must_resolve,operator,high,"Account status (LIST, no ND). Cannot ND or silently fill; operator/source must supply. Required for both preview and production."
RREL9,redemption_date,operator_or_config_dependency,operator_review,1526,no,yes,preview_exclusion,must_resolve,operator,low,Redemption date; optional/ND5-eligible. Omit from preview; operator confirms for production.
RREC14,current_valuation_method,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,"Current valuation method (LIST). Resolve by adding the enum mapping in the regime contract (deterministic config, like RREL35)."
RREC16,original_loan_to_value,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Original loan-to-value (PERCENTAGE). Resolve the projection/format config.
RREC7,occupancy,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Occupancy type (LIST). Add the enum mapping in config.
RREL10,resident,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,low,Resident (Y/N). Add the boolean/enum mapping in config.
RREL11,geographic_region_obligor,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Geographic region - obligor (NUTS). Map source region to NUTS via config.
RREL14,credit_impaired_obligor,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,low,Credit impaired obligor (Y/N). Add the boolean mapping in config.
