annex2_code,field_name,canonical_field,required_status,applicability,expected_source,expected_rule,actual_rule,actual_output,xsd_result,operations_control_result,root_cause,recommended_action
RREC1,Unique Identifier,collateral_unique_identifier,Mandatory (no ND),not applicable (28a coverage),fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records); absent from older synthetic_demo projected CSV","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREC13,Current Valuation Amount,current_valuation_amount,Analytics (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREC2,Underlying Exposure Identifier,underlying_exposure_identifier,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREC3,Original Collateral Identifier,original_collateral_identifier,Mandatory (no ND),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREC4,New Collateral Identifier,new_collateral_identifier,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREC5,Collateral Type,collateral_type,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL15,Customer Type,customer_type,Analytics (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL18,Primary Income Currency,primary_income_currency,Analytics (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL20,Secondary Income,secondary_income,Optional (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),ABSENT from both proven-path outputs (reproduced and committed),"document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,"no field_rules entry AND not emitted by the proven path either — Optional, ND-allowed field; genuine end-to-end gap or deliberate omission","decide: add rule + projector coverage, or formally defer the code"
RREL21,Secondary Income Verification,secondary_income_verification,Optional (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),ABSENT from both proven-path outputs (reproduced and committed),"document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,"no field_rules entry AND not emitted by the proven path either — Optional, ND-allowed field; genuine end-to-end gap or deliberate omission","decide: add rule + projector coverage, or formally defer the code"
